Block Height,Block Timestamp,Block Value,Pool Hashrate (GH/s)
770975,1673186518,6.32321635,5525267259.0086
770969,1673183015,6.29204808,5528396062.8601
770959,1673176814,6.3127134,5541455054.1548
770955,1673173342,6.25355645,5513457796.3354
770929,1673163665,6.266734,5550301316.7017
770925,1673161046,6.2672969,5603554284.1466
770883,1673133590,6.31180779,6272534970.7197
770859,1673120109,6.27974448,6802198259.0839
770839,1673107734,6.27156216,6774543753.3728
770756,1673064373,6.35879794,6570520533.3923
770737,1673051377,6.30615997,5536795779.615
770734,1673050304,6.34450255,5527118045.9947
770694,1673032278,6.43124574,6887989186.2777
770664,1673021039,6.39152149,6723871318.328
770657,1673018842,6.44314433,6742022254.3213
770641,1673012559,6.31141968,6688409895.9644
770623,1673002792,6.2825893,6790105239.5477
770599,1672994240,6.25504469,6770938992.0675
770585,1672985491,6.44831693,6783793947.7693
770564,1672974049,6.48309689,6830838136.9298
770536,1672954182,6.38136106,6796040107.2811
770514,1672943691,6.37882307,6787587865.9624
770447,1672901633,6.28009023,8373176333.7368
770392,1672874027,6.37906598,8537724813.5782
770376,1672863648,6.42046407,8407154780.4879
770334,1672834680,6.33878118,8374197036.8375
770329,1672832646,6.36685123,8388325222.856
770281,1672808196,6.2875761,8375261599.538
770278,1672806966,6.32003499,8404506625.9375
770276,1672806474,6.44373936,8444249798.1899
770221,1672775007,6.39762341,8494703937.8163
770199,1672759610,6.30659014,8405279390.5223
770185,1672753347,6.3748326,8468499923.1117
770171,1672747988,6.29029707,8561531152.6506
770057,1672678396,6.28170955,8411778253.9235
770055,1672678043,6.34785708,8417483909.2397
770022,1672662710,6.30042174,8433782727.1913
770019,1672660403,6.28930807,8425854949.8605
769987,1672646729,6.2859079,8480845338.2636
769967,1672637466,6.25099587,8519544521.8968
769928,1672607817,6.26172569,7745819693.028
769877,1672581481,6.30613841,8594170919.3093
769836,1672556822,6.25027737,8564849950.8267
769829,1672553830,6.39154719,8622113538.275
769809,1672540030,6.2650968,8565072529.6771
769793,1672533697,6.26085939,8296349323.9252
769738,1672501288,6.34546589,8636585229.546
769728,1672495196,6.47160146,8626243416.1478
769723,1672491261,6.29924267,8612653444.9242
769704,1672483019,6.30367157,8609221839.8372
769694,1672477155,6.31712348,8616041291.9738
769692,1672476456,6.33661098,8618292840.2356
769684,1672470768,6.30832029,8631487179.742
769682,1672469721,6.25942601,8632973432.2389
769635,1672446010,6.26360214,7297501157.0979
769611,1672437134,6.29833217,8233687721.0148
769605,1672434069,6.46435364,7596071256.2736
769565,1672414235,6.3952828,8373992652.8337
769546,1672403719,6.32331279,7500027110.7645
769529,1672391192,6.37997773,7323181007.8688
769466,1672351811,6.36328005,7416568788.0022
769450,1672339486,6.4143864,8452436003.1498
769443,1672334785,6.41055835,8406356471.4436
769435,1672332369,6.29018441,8426752438.5873
769429,1672330264,6.44215729,8496052532.2638
769326,1672268190,6.53248829,8518304907.6842
769285,1672245951,6.34169033,8373764379.0969
769207,1672209850,6.32707623,8307110911.4132
769173,1672190125,6.28147996,8280658428.8211
769121,1672156044,6.7323014,8063862829.505
769108,1672145291,6.56836676,8115121716.8415
769062,1672109206,6.34195537,8056823623.8531
769049,1672099597,6.45572219,8021275210.0955
769001,1672067742,6.33696639,7617137790.9478
768993,1672064161,6.56617752,7398416695.725
768936,1672023105,6.25582366,7665278607.9951
768919,1672012820,6.25026023,7644695012.1438
768913,1672009520,6.25477064,7639486202.3244
768885,1671989974,6.33230305,7580505063.5286
768871,1671980054,6.54642824,7571889395.1686
768860,1671966910,6.30391757,7658898680.1061
768837,1671954956,6.25043811,7676759584.4883
768835,1671954767,6.27413325,7678673201.5145
768809,1671941749,6.30630408,7712484146.4403
768808,1671941304,6.29107981,7716468649.3644
768796,1671935219,6.30081453,7737651444.1854
768763,1671911868,6.51244924,7776301697.4186
768711,1671857902,6.32998996,6210780488.1717
768708,1671855503,6.49663561,6223124779.2547
768670,1671826068,6.47338687,7426243060.3378
768590,1671769501,6.28223871,8234390625.1512
768557,1671752350,6.40433999,8296927703.1164
768536,1671740036,6.286767,8341762384.5486
768520,1671733598,6.44850931,8236069623.1763
768513,1671728879,6.39473997,8218446194.1657
768504,1671723521,6.28411015,8192222256.1725
768458,1671691172,6.29225303,8359442377.8148
768452,1671687025,6.26874532,8369195084.545
768415,1671662984,6.32963619,7475069239.0491
768377,1671640309,6.47462073,7340674525.0783
768375,1671638604,6.36471811,7345427023.9478
768357,1671630368,6.37390259,7341932965.5447
768332,1671614405,6.36721657,7514682813.6249
768243,1671558879,6.45965586,7420337362.7867
768215,1671540344,6.37128905,7354546014.4922
768211,1671538916,6.37057832,7380891140.2573
768151,1671500488,6.35105521,7329529350.6363
768118,1671481528,6.4502456,7382497727.3812
768116,1671479872,6.46932012,7399666380.6471
768101,1671469921,6.51530293,7291166150.926
768089,1671460160,6.48876055,7086399510.0716
768087,1671458868,6.5397622,6875676905.1805
768082,1671456362,6.5025138,6933243157.1212
768076,1671451244,6.48189647,7231791812.4398
768054,1671436705,6.30075513,7369540029.0174
768044,1671429922,6.32481796,7348549335.7747
768024,1671418627,6.25,7478465672.8757
767965,1671392220,6.43520863,7508396549.1335
767952,1671380682,6.47179959,7471694916.2223
767924,1671364502,6.36369595,7561550204.4989
767908,1671352778,6.25598544,7519902976.9602
767881,1671333523,6.33223021,7604324740.5345
767877,1671331780,6.31617912,7603732522.9154
767842,1671315152,6.45395707,7632670448.0116
767839,1671312770,6.458208,7627312042.6206
767780,1671269763,6.29596534,7531072370.9381
767777,1671268578,6.37607383,7537398551.8664
767752,1671252237,6.26118353,7576302413.0337
767736,1671245118,6.30021046,7608503656.7248
767721,1671235909,6.49296201,7491648948.6307
767670,1671194812,6.40795693,7436725727.8111
767662,1671187459,6.26418744,7447399041.683
767651,1671182917,6.31020901,7453556073.2233
767637,1671174568,6.41808844,7489776023.7169
767542,1671122417,6.4331317,14779779130.022
767537,1671118709,6.29697352,14755654277.879
767530,1671116600,6.3873095,14780615322.604
767511,1671102515,6.29946659,14767337570.816
767494,1671094376,6.44688543,14845980471.644
767463,1671072626,6.44156313,14885286511.853
767459,1671067877,6.30821739,14829739001.157
767456,1671065167,6.31933922,14839645819.848
767412,1671043056,6.5354713,14957167441.612
767393,1671030350,6.4220301,14789448328.681
767386,1671026512,6.3345304,14752273666.417
767321,1670985756,6.2940038,13266659549.108
767284,1670968276,6.25956436,14504440031.341
767282,1670967789,6.2774992,14446023979.039
767261,1670959456,6.37542218,14330202958.572
767255,1670956967,6.44295399,13706998696.619
767248,1670952915,6.32098558,14428417387.29
767222,1670941113,6.43058093,14379832795.198
767217,1670937951,6.40889742,14393989023.17
767212,1670935666,6.25335057,14440907826.865
767208,1670934919,6.46238041,14486282099.052
767157,1670900106,6.2670075,14704975639.044
767113,1670874344,6.42461673,13125384691.652
767096,1670865604,6.2836404,14648502038.331
767078,1670854490,6.41087968,14564235431.903
767075,1670851312,6.44512442,14577497808.539
767056,1670840119,6.28620306,14628830724.389
767036,1670830810,6.43669354,14611865873.7
767009,1670809645,6.28223765,14613955566.797
766999,1670806255,6.30097421,14639493801.797
766993,1670802696,6.35094873,14663168443.342
766982,1670795887,6.27867037,14663621398.368
766980,1670795510,6.27467051,14668643650.724
766952,1670782126,6.39791464,14731353862.687
766912,1670761527,6.35461512,14515963221.796
766908,1670755110,6.29526767,14759280565.33
766905,1670749769,6.27692084,14751550191.576
766899,1670745219,6.31827442,14764007066.953
766895,1670742824,6.27919631,14774696635.727
766880,1670733480,6.26293678,15323707570.186
766867,1670726888,6.28280065,14515958961.061
766857,1670720815,6.25522661,14230928667.045
766847,1670715922,6.25222305,14057035954.178
766791,1670685401,6.27929327,14296190412.862
766770,1670676518,6.32018773,14237769725.066
766731,1670656976,6.30662398,14245175835.248
766725,1670651731,6.44580532,14109490929.295
766706,1670638819,6.34175667,14106240821.568
766665,1670610481,6.41965256,14105522734.923
766652,1670604027,6.39860875,14404514983.382
766640,1670598577,6.29642526,14505077914.796
766631,1670592756,6.28736811,14522967936.095
766621,1670588314,6.34780773,14599484044.181
766597,1670574808,6.28751509,14665118318.167
766565,1670557848,6.28522786,14126700827.531
766535,1670539380,6.27617036,13959319193.744
766533,1670539166,6.35674809,13983798055.778
766531,1670537134,6.30318119,13976653990.792
766514,1670529428,6.26645971,14019228390.249
766483,1670515719,6.44241468,14244219475.425
766444,1670494396,6.27182129,14246112905.348
766435,1670487406,6.29203571,14214270244.135
766394,1670464739,6.40012746,13910998643.692
766391,1670462494,6.29690384,13751881346.169
766376,1670457670,6.268189,12703620346.639
766323,1670432552,6.33377717,14136228161.04
766308,1670427528,6.45862178,14523836198.787
766296,1670418965,6.53886876,14164715522.025
766282,1670411092,6.39201301,14195781574.39
766202,1670370939,6.47071436,13919264431.257
766183,1670358845,6.59165633,14598587517.324
766166,1670343507,6.41194064,14660084034.455
766138,1670325285,6.34273237,14726582643.277
766135,1670323943,6.32583367,14778048118.964
766123,1670314332,6.45678845,14739916547.458
766110,1670308559,6.26016773,14578758758.454
766100,1670304625,6.40103188,13902573368.968
766084,1670293471,6.28441506,14513269588.625
766078,1670291069,6.31087865,14580949629.563
766063,1670282577,6.26404718,14455323968.68
766055,1670280015,6.2517902,14412563970.778
766016,1670256983,6.33799699,15536500841.733
766003,1670251716,6.46465248,14985236101.599
765972,1670232941,6.38843351,14940915701.98
765968,1670230141,6.44739865,15329208988.015
765963,1670225942,6.3667791,15161593887.178
765859,1670156615,6.28280408,15051067038.756
765854,1670155464,6.40414976,15064288223.184
765831,1670142174,6.31386719,15024324021.337
765824,1670139184,6.30971869,14829415222.004
765809,1670132148,6.34417846,14466329406.379
765773,1670103353,6.4763264,15183968574.614
765708,1670064648,6.30402046,15078620859.462
765705,1670063687,6.54033212,15075077707.677
765684,1670047740,6.36854397,15103717581.211
765669,1670037829,6.50296062,14306237793.34
765649,1670023061,6.55600998,13761825317.848
765616,1669995928,6.59374466,14051889521.1
765598,1669986388,6.4726556,13569651898.864
765579,1669969070,6.37484552,14914675241.952
765567,1669961862,6.58151863,14957149206.843
765557,1669956431,6.39358527,14951974238.958
765550,1669952850,6.36468648,14975627112.148
765522,1669934332,6.70361669,14938232170.647
765493,1669916530,6.56775083,14780776355.293
765468,1669897517,6.43999708,14626948372.494
765443,1669882093,6.25536791,14687581677.481
765437,1669881028,6.44265902,14712512377.306
765432,1669878299,6.27494882,14687419451.792
765419,1669873759,6.34588933,14599718701.846
765413,1669872663,6.31020549,14589837058.338
765404,1669868804,6.41020814,14699046834.71
765362,1669843639,6.35595508,14618036032.572
765333,1669821545,6.42390002,14438995078.5
765331,1669821031,6.4798118,14425156774.782
765323,1669815631,6.5629183,14494196016.257
765278,1669786584,6.26604415,14443558380.262
765239,1669768366,6.41475399,13505914257.289
765217,1669751463,6.2892185,14035196913.016
765212,1669749429,6.51119863,14213764105.486
765183,1669732976,6.28100163,14444480461.424
765103,1669678148,6.44497836,14553824610.337
764978,1669604820,6.35115196,14522601519.417
764950,1669581169,6.5297867,14827360193.899
764936,1669571502,6.43406445,14749294209.176
764934,1669570521,6.3344964,14774238065.877
764923,1669564402,6.40244706,14790356964.189
764845,1669517815,6.28064884,13750086999
764823,1669500134,6.39554119,14972884191.711
764805,1669483433,6.6281881,15046366433.104
764788,1669476864,6.28352277,14955953522.737
764782,1669474215,6.40960169,14912757718.934
764765,1669461635,6.52769813,14930232195.876
764752,1669446249,6.66082307,14965694462.038
764751,1669444123,6.65877063,14914033514.47
764748,1669441708,6.28359329,14878430070.17
764722,1669423276,6.5162452,14904686674.799
764715,1669415500,6.52022732,14931261658.35
764699,1669405320,6.468023,14799531629.355
764682,1669391199,6.50201326,14795790907.23
764673,1669384921,6.49982303,14729758854.738
764658,1669374664,6.43207303,14677096042.657
764642,1669361524,6.38123995,14799386718.63
764636,1669358126,6.36276409,14783219456.693
764616,1669341221,6.26519762,14873189769.65
764609,1669338100,6.3285181,14889045019.568
764598,1669334985,6.50872864,14922897077.689
764587,1669327773,6.58813822,14910144909.835
764577,1669323118,6.33566487,14767233644.746
764576,1669323059,6.36097098,14773015156.833
764558,1669311578,6.61078815,13229163018.032
764555,1669308229,6.34322757,12966633641.131
764545,1669302265,6.52099996,14736369989.929
764496,1669266757,6.35376003,14732600192.853
764492,1669264269,6.61789802,14796835903.926
764488,1669259296,6.59162552,14861381760.685
764484,1669254259,6.36521189,14892507967.883
764409,1669209140,6.56461396,15771147864.723
764401,1669202063,6.40380334,15814772126.813
764398,1669199661,6.35957092,15837300261.877
764379,1669189980,6.40031398,15947684639.363
764340,1669167072,6.37567998,16420180028.187
764322,1669154829,6.5657631,16205119651.776
764291,1669131899,6.31597229,16035503250.421
764256,1669114124,6.58140541,14852489809.64
764232,1669097175,6.45938591,16663805211.395
764187,1669067630,6.43533638,15807406159.604
764146,1669039429,6.41491066,14598003587.583
764141,1669038752,6.44039154,14655797440.157
764136,1669036807,6.70572926,14684156342.449
764133,1669031987,6.51064599,14687602563.058
764120,1669024894,6.4954,14717529655.936
764109,1669015203,6.42703343,15296277842.763
764099,1669007323,6.29711989,14841311346.802
764093,1669002203,6.30198705,14747767714.264
764089,1668999768,6.27559421,14723952950.589
764079,1668992757,6.35423024,14690712320.71
764067,1668986382,6.25455409,15378952162.407
764046,1668976898,6.56800769,16600986375.007
764027,1668964427,6.57185035,16332082013.306
764013,1668953268,6.58012707,14773274917.441
764000,1668942502,6.34050628,14723430690.702
763996,1668941616,6.26785171,14733583398.221
763993,1668940446,6.4307386,14754031708.466
763978,1668931679,6.36158011,14714966077.161
763969,1668927525,6.4076979,14741494901.427
763968,1668926363,6.32796994,14717516103.223
763944,1668912734,6.3040808,14719436070.192
763940,1668910154,6.48590123,14732745082.074
763890,1668885896,6.38284717,15913652204.231
763840,1668858455,6.42108954,15227706473.721
763829,1668847259,6.49520473,14677859707.094
763823,1668842211,6.36524018,14664330594.822
763801,1668828652,6.48832234,15765449493.679
763797,1668827070,6.45352585,15905699043.743
763792,1668825221,6.50155838,16190201041.265
763772,1668814245,6.49116723,15554190544.345
763744,1668796657,6.75499894,15268665946.614
763737,1668792318,6.61527812,14808931772.09
763702,1668770834,6.44556816,14633342723.082
763689,1668766695,6.43262837,14666381372.005
763673,1668757327,6.7689276,14745113194.448
763636,1668727756,6.6999469,14601702312.666
763624,1668714571,6.39437258,14823953071.668
763610,1668708731,6.66459115,14811510205.239
763586,1668696510,6.60496947,14834435347.601
763482,1668634519,6.41177403,14956794618.23
763473,1668629065,6.62578826,14903654200.785
763467,1668626048,6.42221925,14752380198.379
763463,1668624453,6.39470658,14700350740.153
763455,1668621794,6.55462655,13874227994.25
763445,1668613684,6.38660334,14222557242.938
763436,1668610075,6.62992559,14666009624.979
763418,1668597249,6.52456434,14879864090.109
763389,1668580894,6.47725223,14900991990.673
763351,1668558361,6.62319477,11537407800.352
763329,1668545035,6.49889326,14715768146.421
763294,1668524513,6.54996161,14645245843.682
763281,1668517709,6.46001447,14602883673.622
763201,1668476869,6.61726848,14746404329.518
763187,1668460372,6.45383766,14671955433.894
763150,1668434226,6.58162202,14669975083.603
763143,1668429189,6.34914422,14543214833.478
763117,1668409563,6.39674206,14642363571.774
763101,1668402796,6.26430252,14582154799.3
763063,1668377200,6.50554372,14696172847.049
762963,1668319873,6.46083517,14735925764.636
762910,1668276819,6.37090501,14719206948.798
762882,1668262728,6.26923879,14686725955.146
762801,1668222120,6.27636145,14785530495.7
762793,1668217914,6.31503026,14766470217.449
762700,1668170968,6.36346575,14357398349.166
762698,1668170467,6.51543885,14363192592.803
762613,1668105297,6.4736229,13807640213.737
762608,1668102175,6.38422544,13881135438.613
762544,1668067820,6.4644717,14550079438.301
762470,1668025287,6.55980276,14137355143.427
762455,1668013808,6.48097346,14448121330.345
762452,1668012321,6.57886048,14478819698.724
762434,1668004680,6.30696455,14505301273.688
762428,1668002545,6.4329106,14496570397.3
762424,1667999841,6.49865404,14550556786.514
762405,1667990891,6.32893699,14532119245.252
762401,1667989221,6.27167009,14514546761.49
762351,1667954695,6.26117397,14089269205.62
